{(drop, =, 0.98); (variation, >, 0.11); (date, =, 28.09.2005); (company, =, "Amazon")}
{(drop, <, 0.11); (variation, >, 0.96); (date, >, 07.10.2013); (company, =, "Google")}
{(drop, >, 0.49); (variation, <, 0.22); (date, >, 17.03.2021); (company, =, "Microsoft")}
{(drop, <, 0.44); (variation, <, 0.09); (date, =, 08.04.2008); (company, =, "Microsoft")}
{(drop, =, 0.67); (variation, =, 0.01); (date, =, 13.03.2006); (company, =, "Microsoft")}
{(drop, <, 0.62); (variation, >, 0.64); (date, <, 19.11.2009); (company, =, "Google")}
{(drop, =, 0.82); (variation, <, 0.3); (date, <, 03.07.2021); (company, =, "Apple")}
{(drop, >, 0.05); (variation, >, 0.94); (date, =, 03.12.2022); (company, =, "Microsoft")}
{(drop, <, 0.21); (variation, <, 0.94); (date, =, 24.03.2017); (company, =, "Apple")}
{(drop, <, 0.25); (variation, >, 0.58); (date, >, 02.03.2022); (company, =, "Apple")}
{(drop, >, 0.56); (variation, =, 0.39); (date, =, 23.03.2005); (value, >, 0.31)}
{(drop, <, 0.76); (variation, =, 0.94); (date, =, 26.05.2007); (value, <, 0.15)}
{(drop, >, 0.68); (variation, <, 0.48); (date, <, 06.11.2015); (value, >, 0.26)}
{(drop, <, 0.76); (variation, >, 0.67); (date, =, 09.08.2014); (value, >, 0.81)}
{(drop, =, 0.06); (variation, =, 0.32); (date, <, 07.07.2015); (value, >, 0.61)}
{(drop, >, 0.73); (variation, <, 0.35); (date, =, 09.11.2001); (value, >, 0.09)}
{(drop, >, 0.25); (variation, <, 0.89); (date, <, 17.10.2004); (value, <, 0.15)}
{(drop, <, 0.01); (variation, <, 0.6); (date, =, 23.07.2001); (value, =, 0.28)}
{(drop, <, 0.38); (variation, >, 0.05); (date, >, 11.06.2021); (value, =, 0.94)}
{(drop, <, 0.2); (variation, <, 0.58); (date, =, 07.01.2005); (value, =, 0.47)}
{(drop, >, 0.58); (variation, <, 0.75); (company, =, "Google"); (value, <, 0.59)}
{(drop, <, 0.16); (variation, <, 0.48); (company, =, "Apple"); (value, >, 0.21)}
{(drop, <, 0.26); (variation, >, 0.5); (company, =, "Microsoft"); (value, =, 0.63)}
{(drop, >, 0.91); (variation, >, 0.67); (company, =, "Microsoft"); (value, <, 0.54)}
{(drop, =, 0.23); (variation, >, 0.54); (company, =, "Microsoft"); (value, >, 0.78)}
{(drop, =, 0.62); (variation, <, 0.51); (company, =, "Apple"); (value, >, 0.56)}
{(drop, >, 0.48); (variation, <, 0.67); (company, =, "Apple"); (value, >, 0.85)}
{(drop, <, 0.03); (variation, =, 0.16); (company, =, "Apple"); (value, >, 0.8)}
{(drop, >, 0.12); (variation, <, 0.33); (company, =, "Microsoft"); (value, <, 0.28)}
{(drop, =, 0.12); (variation, >, 0.94); (company, =, "Microsoft"); (value, =, 0.75)}
{(drop, <, 0.35); (date, =, 19.02.2009); (company, =, "Google"); (value, =, 0.36)}
{(drop, <, 0.95); (date, >, 11.07.2001); (company, =, "Apple"); (value, >, 0.57)}
{(drop, >, 0.55); (date, >, 09.03.2018); (company, =, "Apple"); (value, =, 0.39)}
{(drop, =, 0.44); (date, =, 20.02.2012); (company, =, "Apple"); (value, =, 0.81)}
{(drop, =, 0.75); (date, =, 11.12.2021); (company, =, "Microsoft"); (value, =, 0.49)}
{(drop, =, 0.53); (date, <, 12.01.2002); (company, =, "Apple"); (value, >, 0.5)}
{(drop, <, 0.85); (date, =, 26.10.2017); (company, =, "Google"); (value, <, 0.01)}
{(drop, <, 0.12); (date, <, 18.04.2003); (company, =, "Google"); (value, =, 0.07)}
{(drop, =, 0.3); (date, =, 22.01.2008); (company, =, "Google"); (value, >, 0.54)}
{(drop, <, 0.34); (date, <, 05.10.2003); (company, =, "Google"); (value, <, 0.98)}
{(variation, <, 0.48); (date, <, 10.03.2015); (company, =, "Apple"); (value, >, 0.01)}
{(variation, =, 0.07); (date, =, 19.01.2004); (company, =, "Microsoft"); (value, =, 0.29)}
{(variation, >, 0.05); (date, >, 14.10.2017); (company, =, "Google"); (value, =, 0.12)}
{(variation, =, 0.33); (date, >, 10.09.2014); (company, =, "Microsoft"); (value, >, 0.46)}
{(variation, >, 0.1); (date, >, 26.07.2005); (company, =, "Google"); (value, <, 0.15)}
{(variation, =, 0.73); (date, >, 04.06.2014); (company, =, "Google"); (value, <, 0.3)}
{(variation, >, 0.9); (date, <, 11.06.2018); (company, =, "Apple"); (value, >, 0.35)}
{(variation, >, 0.58); (date, <, 27.07.2010); (company, =, "Amazon"); (value, >, 0.63)}
{(variation, =, 0.11); (date, >, 30.01.2012); (company, =, "Microsoft"); (value, =, 0.77)}
{(variation, <, 0.97); (date, =, 04.03.2021); (company, =, "Google"); (value, >, 0.46)}
